sna,total,可借數,sarea,可還空位數
捷運幸福站,32,15,新莊區,17
成泰路4段22巷,42,20,五股區,20
新店高中(中央路),42,4,新店區,17
藝文二永翠路口(青峰社區),40,31,板橋區,8
新店行政園區,86,11,新店區,75
中角灣,20,1,金山區,19
俊興三龍街口,30,3,樹林區,27
綠湖公園,36,16,新店區,20
捷運景安站,82,5,中和區,76
林口婦幼公園,22,10,林口區,11
金城裕民路口(金城舞社區),34,14,土城區,18
湖南市民活動中心,30,17,林口區,12
埤墘公園,30,14,板橋區,16
德泰公園,28,10,五股區,17
華江一華江六路口(仰真社區),32,8,板橋區,23
華江一華江五路口(雙江翠社區),32,8,板橋區,24
捷運新埔民生站,32,3,板橋區,29
野柳地質公園,50,8,萬里區,38
白沙灣,50,14,石門區,33
文化路二段182巷1弄,40,0,板橋區,40
淺水灣,44,3,三芝區,40
安居公教住宅,30,4,新店區,25
林建生紀念圖書館,34,9,蘆洲區,25
永翠藝文街口(大禾社區),38,22,板橋區,15
三峽國中,42,13,三峽區,28
宏匯廣場,40,12,新莊區,28
八里行政中心,36,3,八里區,32
疏洪東竹圍仔街口,26,20,三重區,5
民生路156巷,26,10,新店區,13
深澳漁港,22,16,瑞芳區,6
新泰路255巷口,30,15,新莊區,14
中華城林路口,44,14,土城區,29
中山八德街口,28,9,樹林區,18
順德街(御中央3社區),34,10,新店區,22
輕軌漁人碼頭站,38,24,淡水區,11
凌雲路一段158巷口,30,10,五股區,19
中央慶利街口(風華綠中央社區),16,2,土城區,13
央北青年社會住宅,58,18,新店區,34
瓊林公園,30,14,新莊區,16
宏匯思源廣場,40,6,新莊區,33
環河西新月一街口(新月天地社區),32,31,板橋區,1
永翠藝文街口(柏克萊公園社區),40,7,板橋區,29
矽谷園區,30,7,汐止區,20
輕軌沙崙站,30,11,淡水區,18
深坑雲鄉路,16,6,深坑區,4
三峽國光青年社會住宅,44,30,三峽區,13
十四張央北二路口(波爾多社區),40,12,新店區,22
藝文藝文二街口(大悅社區),34,13,板橋區,18
福德一路201巷口(福德ONE社區),34,4,汐止區,26
四維國凱街口(立天下社區),40,8,樹林區,30
頂崁公園,26,13,三重區,12
華江九華江一路口(匯翠社區),34,6,板橋區,27
中山環金路口,34,14,金山區,19
中山溫泉公園,44,17,金山區,23
龍米停車場,30,13,八里區,17
雙和醫院,30,6,中和區,21
寶高智慧產業園區,60,11,新店區,42
捷運三重站(1號出口),40,29,三重區,11
